0	4751	7205	-3959	-7358	0	0	-290	0	-1	-1	-1	700	413	0	88
6	3660	3859	3808	3602	8	-21	-640	0	-1	-1	-1	6	28	-1949	88
24	3617	4015	3901	3486	0	0	810	2	-1	-1	-1	14	57	-1974	88
42	3494	4292	4073	3240	-7	21	-350	2	-3	-3	-3	28	115	-1964	88
60	3437	4438	4161	3115	-27	-7	-30	3	-5	-5	-5	36	144	-1968	88
84	3291	4707	4337	-2939	-24	-13	-940	5	-6	-6	-2	48	204	-1944	88
108	3139	4967	4519	-3183	0	0	-280	8	2	-3	5	58	263	-1922	88
144	2951	5201	4714	-3417	-49	11	-440	14	14	10	8	63	323	-1880	88
150	-2931	5326	4808	-3536	35	-24	-400	14	14	10	8	67	352	-1865	88
204	-3445	5690	5273	-3930	22	29	-1710	18	32	20	7	55	476	-1723	88
234	-3771	5813	5542	-4086	57	-19	-1300	15	44	23	7	36	538	-1634	88
252	-3906	5897	5676	-4164	143	226	-740	13	43	27	6	30	569	-1619	88
276	-4157	6064	5923	-4322	-63	48	-320	12	46	31	7	20	629	-1577	88
330	-4561	6489	6381	-4690	-139	-25	600	10	52	39	7	16	750	-1550	88
348	-4880	6595	6678	-4786	54	66	-1250	8	56	45	3	-9	809	-1493	88
366	-4882	6587	6672	-4785	54	66	-1250	7	58	49	1	-9	809	-1493	88
399	-5250	6646	6993	-4845	109	237	-1010	5	63	56	-4	-42	869	-1426	88
417	-5647	6670	7343	-4859	1	178	-1390	4	67	62	-3	-84	927	-1360	88
456	-6286	6644	7870	-4845	-86	25	-900	3	68	70	-7	-158	1008	-1227	88
468	-6522	6596	8058	-4803	-174	231	-1800	5	71	77	-6	-189	1033	-1178	88
510	-7260	6395	8640	-4615	-44	37	-2150	3	73	85	-3	-293	1103	-1044	88
534	-7713	6281	9009	-4498	-207	403	-1360	-16	77	99	0	-357	1147	-966	88
564	-8118	6180	9345	-4387	-93	5	-870	-28	78	116	0	-415	1191	-907	88
582	-8425	5990	9562	-4214	-17	127	-2140	-38	80	121	0	-469	1203	-840	88
606	-8827	5882	9906	-4083	-389	106	-2030	-54	80	137	2	-529	1243	-789	88
666	-9784	5597	10744	-3715	-86	244	-410	-106	84	198	4	-682	1338	-692	88
681	-10048	5395	10931	-3521	-570	476	-2290	-131	87	217	8	-735	1344	-637	88
